Plant Id,Plant Name,Entity Id,Entity Name,County,State,Latitude,Longitude
59140,EDF Lancaster,57170,"EDF Renewable Asset Holdings, Inc.",Worcester,MA,42.529167,-71.66528
59142,Manatee County LFGTE,58948,Manatee County Utilities Department,Manatee,FL,27.468889,-82.45083
59143,Front Range Project,58960,Timberline Energy LLC,Weld,CO,40.029444,-105.0047
59144,Brighton PV Solar Plant,58949,Hangar 160 LLC,Adams,CO,39.9825,-104.9408
59145,Freeport LP Pretreatment Facility,58959,Freeport LNG Development L.P,Brazoria,TX,28.979167,-95.30694
59146,XPF Solar Field,58961,United Therapeutics Corporation,Durham,NC,35.911667,-78.87333
59147,Fair Wind,58962,"Fair Wind Power Partners, LLC",Garrett,MD,39.404564,-79.29114
59148,Green Farm,61060,Cypress Creek Renewables,Martin,NC,35.831667,-77.26972
59149,Simons Farm,61060,Cypress Creek Renewables,Hertford,NC,36.306389,-76.99722
59150,RE Mustang LLC,58968,RE Mustang LLC,Kings,CA,36.221667,-119.9031
59151,Harvest Power Orlando,58969,Harvest Power Orlando LLC,Orange,FL,28.376111,-81.59056
59152,Thornton PV1,58970,"Ecoplexus, Inc",Greene,NC,35.395833,-77.66167
59153,Watson Seed Farm PV1,58970,"Ecoplexus, Inc",Nash,NC,36.129722,-77.72139
59154,Bradley PV1,58970,"Ecoplexus, Inc",Hertford,NC,36.260556,-77.07639
59155,Shawboro PV1,59819,"Fresh Air Energy X, LLC",Currituck,NC,36.433333,-76.08722
59156,Carter PV1,58970,"Ecoplexus, Inc",Cumberland,NC,35.021111,-78.7875
59157,Pecan PV1,58970,"Ecoplexus, Inc",Richmond,NC,34.909167,-79.82944
59158,Langley PV1,58970,"Ecoplexus, Inc",Wilson,NC,35.801944,-77.84889
59162,Mariposa Solar Center LLC,59462,"Heelstone Energy Holdings, LLC",Gaston,NC,35.373889,-81.08694
59163,Highland Solar Center LLC,61119,"SRE Utility Solar 1, LLC",Lenoir,NC,35.363889,-77.45194
59164,Elm City Solar Facility,3046,Duke Energy Progress - (NC),Wilson,NC,35.781111,-77.84694
59166,Bridgeport Disposal Solar Farm,58977,Bridgeport Disposal LLC,Gloucester,NJ,39.7875,-75.35083
59167,Lancaster Solar 1,58976,"PsomasFMG Lancaster Solar Crest, LLC",Los Angeles,CA,34.715,-118.095
59168,Avalon Solar,59384,Avalon Solar,Pima,AZ,32.001389,-110.9606
59169,Lancaster Solar 2,58976,"PsomasFMG Lancaster Solar Crest, LLC",Los Angeles,CA,34.710556,-118.1661
59170,Jakana Solar,58975,Jakana Solar,Martin,NC,35.875278,-77.08111
59171,Windsor Solar,58979,Windsor Solar LLC,Bertie,NC,36.016944,-76.88306
59172,Belmont,58985,Marion Solar LLC,Marion,IN,39.72,-86.19306
